,,Underweight,,,,Healthy weight,,,,Overweight,,,,Obese,,,,Number of children measured,,Participation rate,
,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,,,,
Code,Area,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Reception,Year 6,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,
00AB,Barking and Dagenham, 1.0 , 0.4 , 1.3 , 0.5 , 71.2 , 1.6 , 57.5 , 2.1 , 14.0 , 1.2 , 17.0 , 1.6 , 13.8 , 1.2 , 24.2 , 1.8 ,"2,957","2,124",94.7%,90.0%
00AC,Barnet, 1.2 , 0.4 , 1.9 , 0.5 , 76.9 , 1.5 , 64.3 , 1.8 , 12.1 , 1.1 , 14.2 , 1.3 , 9.7 , 1.0 , 19.6 , 1.5 ,"3,139","2,801",84.7%,85.3%
00AD,Bexley, 0.7 , 0.3 , 0.9 , 0.4 , 73.6 , 1.7 , 61.9 , 1.9 , 14.5 , 1.3 , 16.0 , 1.4 , 11.2 , 1.2 , 21.3 , 1.6 ,"2,681","2,507",95.5%,90.0%
00AE,Brent, 2.9 , 0.6 , 2.9 , 0.6 , 73.4 , 1.5 , 59.1 , 1.8 , 12.1 , 1.1 , 14.3 , 1.3 , 11.6 , 1.1 , 23.7 , 1.6 ,"3,223","2,798",90.8%,90.6%
00AF,Bromley, 0.8 , 0.3 , 0.8 , 0.3 , 78.5 , 1.4 , 68.4 , 1.7 , 12.9 , 1.2 , 14.5 , 1.3 , 7.8 , 0.9 , 16.4 , 1.4 ,"3,156","2,836",93.9%,91.0%
00AG,Camden, 0.9 , 0.5 , 1.5 , 0.7 , 75.4 , 2.2 , 62.2 , 2.6 , 12.6 , 1.7 , 13.8 , 1.9 , 11.1 , 1.6 , 22.5 , 2.2 ,"1,466","1,327",96.6%,94.7%
00AH,Croydon, 1.1 , 0.3 , 1.4 , 0.4 , 75.9 , 1.4 , 60.4 , 1.6 , 12.4 , 1.1 , 14.9 , 1.2 , 10.6 , 1.0 , 23.3 , 1.4 ,"3,741","3,445",92.7%,92.7%
00AJ,Ealing, 1.5 , 0.4 , 2.1 , 0.5 , 75.5 , 1.4 , 60.7 , 1.7 , 11.8 , 1.0 , 16.0 , 1.3 , 11.2 , 1.0 , 21.1 , 1.4 ,"3,835","3,231",98.0%,97.0%
00AK,Enfield, 1.0 , 0.3 , 1.3 , 0.4 , 70.8 , 1.5 , 57.2 , 1.7 , 13.7 , 1.1 , 16.3 , 1.3 , 14.4 , 1.1 , 25.1 , 1.5 ,"3,769","3,340",89.2%,90.3%
00AL,Greenwich, 1.0 , 0.4 , 1.4 , 0.5 , 71.7 , 1.6 , 57.4 , 2.0 , 14.9 , 1.3 , 16.3 , 1.5 , 12.4 , 1.2 , 24.9 , 1.8 ,"2,959","2,263",95.1%,88.1%
00AM1,Hackney, 0.9 , 0.4 , 1.7 , 0.6 , 71.1 , 1.8 , 57.3 , 2.1 , 13.5 , 1.3 , 15.9 , 1.6 , 14.6 , 1.4 , 25.0 , 1.9 ,"2,510","2,082",94.8%,92.1%
00AN,Hammersmith and Fulham, 1.5 , 0.6 , 1.0 , 0.6 , 74.4 , 2.3 , 60.1 , 2.8 , 12.7 , 1.8 , 15.2 , 2.1 , 11.4 , 1.7 , 23.7 , 2.5 ,"1,377","1,159",98.0%,98.5%
00AP,Haringey, 1.3 , 0.4 , 1.3 , 0.5 , 77.2 , 1.7 , 63.2 , 2.0 , 11.4 , 1.3 , 14.3 , 1.5 , 10.1 , 1.2 , 21.1 , 1.7 ,"2,475","2,150",83.1%,81.2%
00AQ,Harrow, 5.1 , 0.9 , 4.0 , 0.8 , 79.9 , 1.6 , 64.0 , 2.0 , 8.1 , 1.1 , 14.5 , 1.5 , 6.9 , 1.0 , 17.6 , 1.6 ,"2,322","2,184",89.1%,91.3%
00AR,Havering, 0.7 , 0.3 , 1.1 , 0.4 , 75.0 , 1.7 , 63.7 , 1.9 , 13.5 , 1.3 , 16.0 , 1.4 , 10.8 , 1.2 , 19.3 , 1.6 ,"2,459","2,476",94.1%,92.5%
00AS,Hillingdon, 1.8 , 0.4 , 2.3 , 0.5 , 76.7 , 1.4 , 62.9 , 1.8 , 11.4 , 1.1 , 14.3 , 1.3 , 10.1 , 1.0 , 20.6 , 1.5 ,"3,334","2,918",89.7%,93.6%
00AT,Hounslow, 2.2 , 0.5 , 1.6 , 0.5 , 73.1 , 1.6 , 60.0 , 2.0 , 12.1 , 1.2 , 15.0 , 1.5 , 12.7 , 1.2 , 23.4 , 1.7 ,"2,843","2,266",99.0%,99.0%
00AU,Islington, 0.8 , 0.4 , 1.6 , 0.6 , 72.8 , 2.2 , 60.2 , 2.4 , 14.8 , 1.7 , 16.5 , 1.8 , 11.6 , 1.6 , 21.8 , 2.0 ,"1,605","1,576",85.3%,87.8%
00AW,Kensington and Chelsea, x , x , 1.2 , 0.7 , x , x , 63.2 , 3.3 , 14.2 , 2.3 , 14.5 , 2.4 , 8.1 , 1.8 , 21.1 , 2.8 ,918,840,94.8%,94.4%
00AX,Kingston upon Thames, 1.4 , 0.6 , 1.4 , 0.6 , 81.1 , 1.9 , 67.8 , 2.5 , 10.4 , 1.5 , 15.1 , 1.9 , 7.1 , 1.3 , 15.7 , 1.9 ,"1,611","1,374",99.1%,98.2%
00AY,Lambeth, 2.2 , 0.5 , 1.0 , 0.4 , 73.4 , 1.7 , 59.4 , 2.0 , 12.9 , 1.3 , 15.7 , 1.5 , 11.6 , 1.2 , 23.9 , 1.7 ,"2,722","2,305",99.8%,100.0%
00AZ,Lewisham, 0.8 , 0.3 , 1.0 , 0.4 , 74.4 , 1.5 , 59.9 , 1.9 , 13.8 , 1.2 , 14.8 , 1.4 , 11.1 , 1.1 , 24.4 , 1.7 ,"3,226","2,492",91.0%,91.6%
00BA,Merton, 0.9 , 0.4 , 1.5 , 0.6 , 79.7 , 1.8 , 62.7 , 2.4 , 11.0 , 1.4 , 16.5 , 1.8 , 8.4 , 1.2 , 19.3 , 2.0 ,"1,925","1,567",87.1%,91.2%
00BB,Newham, 2.4 , 0.5 , 2.1 , 0.5 , 73.5 , 1.3 , 58.1 , 1.6 , 11.2 , 0.9 , 15.1 , 1.2 , 12.9 , 1.0 , 24.7 , 1.4 ,"4,258","3,617",96.6%,95.5%
00BC,Redbridge, 1.8 , 0.4 , 2.3 , 0.5 , 74.4 , 1.4 , 60.9 , 1.7 , 11.7 , 1.1 , 13.6 , 1.2 , 12.2 , 1.1 , 23.2 , 1.5 ,"3,530","3,183",97.8%,97.5%
00BD,Richmond upon Thames, 0.5 , 0.3 , 1.0 , 0.5 , 82.0 , 1.7 , 74.4 , 2.2 , 11.2 , 1.4 , 13.9 , 1.7 , 6.4 , 1.1 , 10.7 , 1.5 ,"1,952","1,528",91.3%,90.0%
00BE,Southwark, 1.2 , 0.4 , 1.1 , 0.4 , 70.3 , 1.7 , 57.1 , 2.0 , 14.7 , 1.4 , 15.4 , 1.4 , 13.8 , 1.3 , 26.5 , 1.8 ,"2,641","2,399",91.8%,91.2%
00BF,Sutton, 1.2 , 0.5 , 1.7 , 0.6 , 79.1 , 1.9 , 65.7 , 2.2 , 11.6 , 1.5 , 14.7 , 1.6 , 8.2 , 1.3 , 18.0 , 1.8 ,"1,840","1,826",89.1%,92.5%
00BG,Tower Hamlets, 1.7 , 0.5 , 2.0 , 0.6 , 74.4 , 1.6 , 58.2 , 2.0 , 11.2 , 1.2 , 14.2 , 1.4 , 12.7 , 1.2 , 25.6 , 1.7 ,"2,881","2,409",94.0%,90.0%
00BH,Waltham Forest, 3.2 , 0.6 , 3.5 , 0.7 , 76.3 , 1.5 , 61.6 , 1.9 , 10.7 , 1.1 , 14.5 , 1.4 , 9.8 , 1.0 , 20.3 , 1.6 ,"3,111","2,521",94.9%,91.9%
00BJ,Wandsworth, 1.1 , 0.4 , 2.0 , 0.6 , 76.0 , 1.7 , 61.8 , 2.2 , 13.1 , 1.4 , 15.3 , 1.6 , 9.8 , 1.2 , 20.9 , 1.8 ,"2,319","1,910",93.1%,94.8%
00BK,Westminster, 1.1 , 0.5 , 1.3 , 0.6 , 74.2 , 2.2 , 59.5 , 2.6 , 12.7 , 1.7 , 16.4 , 2.0 , 12.0 , 1.6 , 22.8 , 2.2 ,"1,534","1,367",95.9%,94.9%
,,,,,,,,,,,,,,,,,,,,,
A,North East, 0.6 , 0.1 , 1.0 , 0.1 , 75.8 , 0.5 , 63.3 , 0.6 , 13.7 , 0.4 , 14.2 , 0.4 , 9.9 , 0.4 , 21.4 , 0.5 ,"27,578","25,282",97.9%,96.7%
B,North West, 0.9 , 0.1 , 1.2 , 0.1 , 75.8 , 0.3 , 64.5 , 0.4 , 13.6 , 0.2 , 14.6 , 0.3 , 9.7 , 0.2 , 19.7 , 0.3 ,"75,698","69,347",94.8%,93.2%
D,Yorkshire and The Humber, 1.0 , 0.1 , 1.4 , 0.1 , 76.9 , 0.3 , 65.5 , 0.4 , 13.0 , 0.3 , 14.0 , 0.3 , 9.1 , 0.2 , 19.2 , 0.3 ,"57,251","51,572",95.0%,93.6%
E,East Midlands, 0.9 , 0.1 , 1.4 , 0.1 , 77.0 , 0.4 , 66.1 , 0.4 , 13.2 , 0.3 , 14.2 , 0.3 , 8.9 , 0.3 , 18.3 , 0.4 ,"45,139","43,662",92.4%,92.2%
