,,Underweight,,,,Healthy weight,,,,Overweight,,,,Obese,,,,Number of children measured,,Participation rate,,,,
,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,,,,,,,
ONS Code,Area,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Reception,Year 6,Reception,Year 6,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham, 1.0 , 0.3 , 1.9 , 0.6 , 73.2 , 1.5 , 58.3 , 2.0 , 12.4 , 1.1 , 15.4 , 1.5 , 13.4 , 1.2 , 24.4 , 1.7 ,"3,362","2,327", 95.7 , 93.0 ,,,
E09000003,Barnet, 1.0 , 0.3 , 1.4 , 0.4 , 75.4 , 1.4 , 64.9 , 1.7 , 13.4 , 1.1 , 14.6 , 1.3 , 10.2 , 1.0 , 19.1 , 1.4 ,"3,642","2,932", 89.0 , 90.1 ,,,
E09000004,Bexley, 0.7 , 0.3 , 0.6 , 0.3 , 72.5 , 1.5 , 59.8 , 1.9 , 14.4 , 1.2 , 15.4 , 1.4 , 12.3 , 1.1 , 24.3 , 1.7 ,"3,192","2,485", 97.6 , 91.4 ,,,
E09000005,Brent, 2.3 , 0.5 , 2.0 , 0.5 , 75.3 , 1.4 , 58.2 , 1.8 , 11.3 , 1.0 , 16.1 , 1.3 , 11.1 , 1.0 , 23.7 , 1.5 ,"3,590","3,022", 96.4 , 97.2 ,,,
E09000006,Bromley, 0.7 , 0.3 , 0.9 , 0.3 , 78.2 , 1.3 , 67.1 , 1.7 , 13.2 , 1.1 , 14.9 , 1.3 , 8.0 , 0.9 , 17.1 , 1.4 ,"3,688","2,931", 95.6 , 93.7 ,,,
E09000007,Camden, 1.4 , 0.6 , 1.8 , 0.7 , 77.7 , 2.1 , 62.7 , 2.6 , 12.0 , 1.6 , 13.6 , 1.9 , 9.0 , 1.4 , 21.8 , 2.2 ,"1,497","1,300", 93.4 , 93.9 ,,,
E09000008,Croydon, 1.0 , 0.3 , 1.1 , 0.3 , 75.3 , 1.3 , 60.7 , 1.6 , 13.5 , 1.0 , 15.9 , 1.2 , 10.2 , 0.9 , 22.3 , 1.4 ,"4,499","3,531", 93.3 , 92.5 ,,,
E09000009,Ealing, 1.8 , 0.4 , 2.3 , 0.5 , 75.8 , 1.3 , 59.7 , 1.7 , 12.0 , 1.0 , 15.2 , 1.2 , 10.4 , 0.9 , 22.7 , 1.4 ,"4,414","3,315", 97.5 , 94.7 ,,,
E09000010,Enfield, 1.4 , 0.4 , 1.6 , 0.4 , 72.4 , 1.3 , 59.3 , 1.6 , 13.6 , 1.0 , 15.0 , 1.2 , 12.6 , 1.0 , 24.1 , 1.4 ,"4,258","3,477", 91.7 , 92.9 ,,,
E09000011,Greenwich, 0.7 , 0.3 , 1.7 , 0.5 , 72.6 , 1.5 , 59.1 , 1.9 , 12.6 , 1.1 , 14.5 , 1.4 , 14.1 , 1.2 , 24.7 , 1.7 ,"3,403","2,454", 96.0 , 95.4 ,,,
E09000012,Hackney1, 0.9 , 0.4 , 1.4 , 0.5 , 72.7 , 1.7 , 57.3 , 2.2 , 13.1 , 1.3 , 16.0 , 1.6 , 13.2 , 1.3 , 25.2 , 1.9 ,"2,576","1,946", 97.9 , 96.5 ,,,
E09000013,Hammersmith and Fulham, 0.8 , 0.5 , 1.1 , 0.6 , 73.9 , 2.4 , 62.6 , 2.9 , 14.0 , 1.9 , 16.2 , 2.2 , 11.2 , 1.7 , 20.1 , 2.4 ,"1,311","1,102", 83.6 , 90.7 ,,,
E09000014,Haringey, 1.0 , 0.4 , 0.9 , 0.4 , 76.3 , 1.5 , 59.7 , 1.9 , 11.6 , 1.2 , 16.0 , 1.5 , 11.1 , 1.1 , 23.4 , 1.7 ,"2,924","2,432", 88.9 , 89.9 ,,,
E09000015,Harrow, 2.3 , 0.6 , 2.8 , 0.7 , 76.5 , 1.7 , 63.0 , 2.1 , 10.9 , 1.2 , 13.8 , 1.5 , 10.2 , 1.2 , 20.4 , 1.7 ,"2,401","2,114", 83.6 , 88.2 ,,,
E09000016,Havering, 1.0 , 0.4 , 1.1 , 0.4 , 78.1 , 1.5 , 63.9 , 2.0 , 11.3 , 1.2 , 15.1 , 1.5 , 9.6 , 1.1 , 19.9 , 1.6 ,"2,826","2,322", 94.5 , 93.0 ,,,
E09000017,Hillingdon, 2.1 , 0.4 , 2.0 , 0.5 , 76.5 , 1.3 , 63.4 , 1.7 , 12.0 , 1.0 , 14.8 , 1.3 , 9.4 , 0.9 , 19.8 , 1.4 ,"3,886","2,916", 97.4 , 96.9 ,,,
E09000018,Hounslow, 1.7 , 0.4 , 1.6 , 0.5 , 75.2 , 1.5 , 58.9 , 2.0 , 11.5 , 1.1 , 14.8 , 1.4 , 11.5 , 1.1 , 24.6 , 1.7 ,"3,379","2,345", 99.6 , 99.4 ,,,
E09000019,Islington, 0.6 , 0.4 , 1.0 , 0.5 , 76.3 , 1.9 , 62.6 , 2.4 , 12.5 , 1.5 , 14.7 , 1.8 , 10.6 , 1.4 , 21.8 , 2.1 ,"1,841","1,531", 91.9 , 91.9 ,,,
E09000020,Kensington and Chelsea, 1.5 , 0.8 , 1.1 , 0.7 , 78.3 , 2.6 , 65.8 , 3.2 , 11.3 , 2.0 , 13.1 , 2.3 , 8.9 , 1.8 , 20.1 , 2.7 ,935,856, 91.2 , 93.2 ,,,
E09000021,Kingston upon Thames, 1.3 , 0.5 , 2.3 , 0.8 , 82.6 , 1.7 , 67.3 , 2.5 , 10.0 , 1.3 , 13.3 , 1.8 , 6.1 , 1.1 , 17.0 , 2.0 ,"1,916","1,371", 99.4 , 98.6 ,,,
E09000022,Lambeth, 1.1 , 0.4 , 1.0 , 0.4 , 75.5 , 1.6 , 59.6 , 2.1 , 12.2 , 1.2 , 15.9 , 1.5 , 11.3 , 1.2 , 23.4 , 1.8 ,"2,844","2,192", 97.4 , 95.4 ,,,
E09000023,Lewisham, 0.4 , 0.2 , 1.0 , 0.4 , 74.6 , 1.4 , 60.7 , 1.9 , 14.3 , 1.1 , 15.1 , 1.4 , 10.7 , 1.0 , 23.3 , 1.7 ,"3,565","2,442", 93.3 , 91.9 ,,,
E09000024,Merton, 1.1 , 0.4 , 1.1 , 0.5 , 77.8 , 1.7 , 63.9 , 2.3 , 12.2 , 1.3 , 13.7 , 1.6 , 9.0 , 1.1 , 21.3 , 1.9 ,"2,378","1,743", 93.5 , 96.4 ,,,
E09000025,Newham, 1.8 , 0.4 , 2.1 , 0.5 , 73.4 , 1.3 , 55.9 , 1.6 , 12.5 , 1.0 , 14.7 , 1.1 , 12.3 , 1.0 , 27.3 , 1.4 ,"4,584","3,715", 94.6 , 95.1 ,,,
E09000026,Redbridge, 2.6 , 0.5 , 2.1 , 0.5 , 76.7 , 1.3 , 61.7 , 1.6 , 10.5 , 1.0 , 15.0 , 1.2 , 10.2 , 0.9 , 21.3 , 1.4 ,"3,945","3,351", 99.2 , 98.9 ,,,
E09000027,Richmond upon Thames, 0.9 , 0.4 , 1.5 , 0.6 , 82.9 , 1.6 , 72.4 , 2.2 , 10.4 , 1.3 , 12.3 , 1.6 , 5.9 , 1.0 , 13.8 , 1.7 ,"2,230","1,547", 92.9 , 92.4 ,,,
E09000028,Southwark, 1.0 , 0.4 , 0.9 , 0.4 , 72.3 , 1.7 , 54.9 , 2.0 , 12.6 , 1.3 , 17.5 , 1.5 , 14.0 , 1.3 , 26.7 , 1.8 ,"2,600","2,347", 85.3 , 93.1 ,,,
E09000029,Sutton, 0.9 , 0.4 , 1.8 , 0.6 , 79.0 , 1.7 , 65.3 , 2.2 , 12.0 , 1.4 , 13.3 , 1.6 , 8.0 , 1.1 , 19.6 , 1.9 ,"2,216","1,768", 91.5 , 92.3 ,,,
E09000030,Tower Hamlets, 1.7 , 0.4 , 2.0 , 0.5 , 74.8 , 1.5 , 56.6 , 1.9 , 10.9 , 1.1 , 14.9 , 1.4 , 12.7 , 1.2 , 26.5 , 1.7 ,"3,130","2,608", 95.1 , 92.9 ,,,
E09000031,Waltham Forest, 1.8 , 0.5 , 2.2 , 0.6 , 77.1 , 1.4 , 59.8 , 1.9 , 10.6 , 1.0 , 15.1 , 1.4 , 10.4 , 1.0 , 22.9 , 1.6 ,"3,412","2,632", 95.7 , 93.7 ,,,
E09000032,Wandsworth, 1.3 , 0.4 , 1.5 , 0.5 , 76.7 , 1.6 , 63.3 , 2.1 , 12.2 , 1.3 , 15.0 , 1.6 , 9.8 , 1.2 , 20.2 , 1.8 ,"2,532","1,943", 92.7 , 93.1 ,,,
E09000033,Westminster, 1.2 , 0.6 , 1.5 , 0.7 , 75.2 , 2.4 , 59.1 , 2.7 , 12.0 , 1.8 , 14.1 , 1.9 , 11.6 , 1.8 , 25.3 , 2.3 ,"1,279","1,320", 87.8 , 90.8 ,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East, 0.6 , 0.1 , 0.9 , 0.1 , 75.2 , 0.5 , 63.4 , 0.6 , 13.8 , 0.4 , 14.8 , 0.4 , 10.3 , 0.4 , 20.9 , 0.5 ,"28,690","24,379", 96.2 , 91.3 ,,,
E12000002,North West, 0.8 , 0.1 , 1.2 , 0.1 , 76.0 , 0.3 , 64.6 , 0.4 , 13.6 , 0.2 , 14.5 , 0.3 , 9.6 , 0.2 , 19.6 , 0.3 ,"80,388","68,036", 95.1 , 93.8 ,,,
