,,Underweight,,,,,,Healthy weight,,,,,,Overweight,,,,,,Obese,,,,,,Number of children measured,,Participation rate,,,
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6,Reception,Year 6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,1.5,1.2,2.0,1.3,1.0,1.9,71.0,69.4,72.5,58.1,56.2,60.0,14.0,12.9,15.2,15.3,14.0,16.7,13.5,12.3,14.7,25.3,23.6,27.0," 3,329 "," 2,601 ",1.0,0.9,,
E09000003,Barnet,1.1,0.8,1.5,1.4,1.0,1.8,78.9,77.6,80.1,65.6,64.0,67.2,11.0,10.1,12.1,14.6,13.5,15.9,9.0,8.1,9.9,18.4,17.1,19.7," 3,840 "," 3,360 ",0.9,0.9,,
E09000004,Bexley,0.6,0.4,0.9,1.4,1.1,2.0,74.2,72.7,75.7,61.9,60.1,63.8,15.0,13.8,16.3,15.2,13.9,16.6,10.2,9.2,11.3,21.4,19.9,23.1," 3,231 "," 2,630 ",1.0,0.9,,
E09000005,Brent,3.0,2.5,3.6,2.3,1.9,2.9,75.9,74.5,77.3,60.3,58.6,61.9,10.9,10.0,12.0,13.5,12.4,14.7,10.1,9.2,11.1,23.9,22.5,25.4," 3,748 "," 3,346 ",1.0,1.0,,
E09000006,Bromley,0.9,0.6,1.2,1.4,1.0,1.8,79.0,77.7,80.3,67.8,66.2,69.4,12.2,11.2,13.3,14.3,13.1,15.5,7.9,7.1,8.7,16.5,15.3,17.9," 3,941 "," 3,181 ",1.0,1.0,,
E09000007,Camden,1.5,1.0,2.2,2.4,1.7,3.3,78.1,76.0,80.2,63.4,60.8,65.9,11.0,9.5,12.7,13.5,11.8,15.4,9.4,8.0,11.0,20.8,18.7,23.1," 1,487 "," 1,359 ",0.9,0.9,,
E09000008,Croydon,0.9,0.7,1.2,1.0,0.8,1.4,76.7,75.5,77.9,60.4,58.8,61.9,12.6,11.7,13.6,14.8,13.7,15.9,9.7,8.9,10.6,23.8,22.5,25.2," 4,552 "," 3,827 ",0.9,1.0,,
E09000009,Ealing,2.1,1.7,2.6,2.3,1.8,2.8,76.7,75.4,77.9,59.9,58.3,61.5,11.7,10.8,12.7,14.6,13.5,15.8,9.5,8.6,10.4,23.3,21.9,24.7," 4,368 "," 3,505 ",0.9,1.0,,
E09000010,Enfield,1.5,1.1,1.9,1.5,1.1,1.9,75.3,73.9,76.6,57.5,55.9,59.1,12.7,11.8,13.8,15.7,14.5,16.9,10.5,9.6,11.5,25.4,24.0,26.8," 4,106 "," 3,761 ",0.9,0.9,,
E09000011,Greenwich,1.1,0.8,1.5,1.5,1.1,2.0,72.6,71.1,74.1,58.7,56.8,60.5,13.5,12.4,14.6,15.4,14.1,16.8,12.8,11.8,14.0,24.5,22.9,26.1," 3,508 "," 2,745 ",1.0,1.0,,
E09000012,Hackney1,1.5,1.1,2.0,1.4,1.0,2.0,72.6,70.9,74.2,57.5,55.4,59.5,14.0,12.7,15.3,15.5,14.1,17.1,12.0,10.8,13.2,25.6,23.8,27.4," 2,755 "," 2,306 ",1.0,1.0,,
E09000013,Hammersmith and Fulham,1.3,0.8,2.1,1.1,0.7,1.9,76.1,73.7,78.3,60.5,57.7,63.3,12.7,11.0,14.6,15.1,13.1,17.3,9.9,8.4,11.6,23.3,20.9,25.8," 1,346 "," 1,135 ",0.9,0.9,,
