,,Underweight,,,,,,Healthy weight,,,,,,Overweight,,,,,,Obese,,,,,,Number of children measured,,Participation rate,
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,1.4,1.0,1.8,1.3,0.9,1.7,72.8,71.3,74.2,55.3,53.4,57.1,11.9,10.9,13.1,14.9,13.7,16.3,13.9,12.8,15.1,28.5,26.9,30.2," 3,451 "," 2,908 ",95.7,95.9
E09000003,Barnet,1.3,1.0,1.7,1.4,1.1,1.9,79.7,78.4,80.9,63.4,61.8,65.0,10.7,9.8,11.6,14.5,13.4,15.7,8.3,7.5,9.2,20.7,19.4,22.0," 4,124 "," 3,587 ",91.5,94.8
E09000004,Bexley,0.5,0.3,0.8,0.9,0.6,1.3,73.9,72.4,75.4,60.8,58.9,62.6,14.6,13.5,15.9,15.6,14.3,17.0,11.0,9.9,12.1,22.7,21.2,24.3," 3,305 "," 2,783 ",99.6,94.3
E09000005,Brent,2.5,2.1,3.1,2.1,1.7,2.7,76.1,74.7,77.4,57.8,56.2,59.4,11.2,10.3,12.3,15.7,14.5,16.9,10.2,9.2,11.2,24.3,23.0,25.8," 3,726 "," 3,508 ",90.5,95.3
E09000006,Bromley,0.6,0.4,0.9,1.3,1.0,1.8,78.6,77.3,79.9,69.4,67.8,70.9,12.6,11.6,13.7,13.3,12.2,14.5,8.2,7.4,9.1,16.0,14.8,17.3," 3,906 "," 3,294 ",96.6,96.4
E09000007,Camden,1.3,0.8,2.0,1.6,1.1,2.4,78.6,76.5,80.6,60.7,58.1,63.2,10.7,9.2,12.3,16.3,14.5,18.4,9.5,8.1,11.0,21.3,19.3,23.5," 1,566 "," 1,402 ",90.1,92.8
E09000008,Croydon,1.3,1.0,1.7,1.1,0.8,1.5,77.4,76.2,78.6,60.0,58.5,61.6,11.1,10.2,12.0,14.4,13.3,15.5,10.2,9.3,11.1,24.5,23.2,25.9," 4,583 "," 3,905 ",94.2,94.9
E09000009,Ealing,1.9,1.6,2.4,1.9,1.5,2.4,75.1,73.8,76.4,59.3,57.7,60.9,12.0,11.1,13.0,15.0,13.9,16.2,10.9,10.0,11.9,23.8,22.5,25.2," 4,253 "," 3,589 ",90.6,92.2
E09000010,Enfield,1.3,1.0,1.7,1.1,0.9,1.5,74.8,73.5,76.1,57.9,56.3,59.4,12.1,11.2,13.2,15.8,14.7,17.0,11.8,10.9,12.8,25.2,23.8,26.6," 4,212 "," 3,859 ",90.2,91.3
E09000011,Greenwich,0.9,0.6,1.3,0.8,0.6,1.2,72.1,70.6,73.5,55.2,53.4,57.1,14.0,12.9,15.2,16.2,14.9,17.6,13.0,11.9,14.2,27.7,26.1,29.4," 3,508 "," 2,871 ",99.9,100.0
E09000012,Hackney1,1.3,1.0,1.8,1.0,0.7,1.5,74.1,72.5,75.7,56.5,54.5,58.4,12.1,10.9,13.3,15.5,14.1,17.0,12.5,11.3,13.8,27.0,25.3,28.8," 2,752 "," 2,422 ",99.1,98.7
E09000013,Hammersmith and Fulham,x,x,x,1.7,1.1,2.6,x,x,x,63.1,60.4,65.8,12.7,11.1,14.6,13.8,12.0,15.9,8.4,7.1,10.0,21.3,19.1,23.7," 1,350 "," 1,229 ",90.1,86.6
E09000014,Haringey,0.9,0.6,1.3,1.2,0.8,1.7,75.0,73.4,76.6,60.9,59.0,62.7,12.5,11.4,13.8,14.1,12.8,15.5,11.6,10.4,12.8,23.8,22.2,25.5," 2,870 "," 2,636 ",87.9,91.4
