,,Underweight,,,,,,Healthy weight,,,,,,Overweight,,,,,,Obese,,,,,,Number of children measured,
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,1.6,1.2,2.1,1.1,0.8,1.5,73.0,71.5,74.4,54.6,52.9,56.4,12.4,11.4,13.6,14.7,13.5,16.0,13.0,11.9,14.1,29.6,28.0,31.2," 3,609 "," 3,098 "
E09000003,Barnet,1.9,1.5,2.4,1.6,1.3,2.1,78.7,77.4,79.9,65.5,63.9,67.0,10.2,9.3,11.2,13.9,12.8,15.0,9.2,8.3,10.1,19.0,17.7,20.3," 4,121 "," 3,557 "
E09000004,Bexley,0.7,0.5,1.1,1.4,1.0,1.9,72.7,71.2,74.2,58.6,56.7,60.4,14.0,12.9,15.3,15.5,14.3,16.9,12.5,11.4,13.7,24.5,22.9,26.1," 3,231 "," 2,798 "
E09000005,Brent,1.8,1.4,2.3,1.6,1.3,2.1,69.8,68.3,71.3,54.8,53.2,56.4,14.7,13.6,15.9,15.3,14.1,16.5,13.7,12.6,14.8,28.3,26.9,29.8," 3,793 "," 3,585 "
E09000006,Bromley,0.8,0.6,1.2,1.3,0.9,1.7,79.0,77.7,80.2,68.0,66.3,69.5,12.5,11.5,13.6,13.4,12.2,14.6,7.7,6.9,8.6,17.4,16.2,18.8," 3,865 "," 3,295 "
E09000007,Camden,2.0,1.4,2.8,2.1,1.5,3.0,77.2,75.0,79.2,58.8,56.2,61.4,11.2,9.7,13.0,16.0,14.2,18.0,9.6,8.2,11.2,23.1,20.9,25.3," 1,476 "," 1,401 "
E09000008,Croydon,1.4,1.1,1.8,1.4,1.1,1.8,74.6,73.3,75.8,61.2,59.6,62.7,13.3,12.4,14.3,14.3,13.3,15.5,10.7,9.8,11.6,23.1,21.8,24.4," 4,653 "," 3,959 "
E09000009,Ealing,2.3,1.9,2.8,1.8,1.4,2.3,79.2,78.0,80.4,59.7,58.2,61.3,9.9,9.1,10.8,15.0,13.9,16.1,8.6,7.8,9.4,23.5,22.2,24.8," 4,379 "," 3,934 "
E09000010,Enfield,1.1,0.8,1.4,1.1,0.9,1.5,73.9,72.5,75.1,58.2,56.7,59.7,13.7,12.7,14.8,15.4,14.3,16.5,11.3,10.4,12.3,25.3,24.0,26.6," 4,381 "," 4,163 "
E09000011,Greenwich,0.9,0.7,1.3,1.0,0.7,1.4,74.8,73.3,76.2,56.0,54.2,57.8,12.6,11.6,13.7,15.0,13.8,16.3,11.7,10.7,12.8,28.0,26.5,29.7," 3,588 "," 3,032 "
E09000012,Hackney1,1.2,0.9,1.7,1.1,0.7,1.6,73.6,71.9,75.2,57.2,55.2,59.1,12.2,11.1,13.5,14.8,13.4,16.2,13.0,11.8,14.3,27.0,25.3,28.8," 2,711 "," 2,443 "
E09000013,Hammersmith and Fulham,1.2,0.8,2.0,0.6,0.3,1.2,77.3,75.0,79.4,61.6,58.8,64.3,12.6,10.9,14.4,15.0,13.1,17.1,8.9,7.5,10.5,22.9,20.6,25.3," 1,368 "," 1,202 "
E09000014,Haringey,1.2,0.9,1.7,1.3,0.9,1.8,77.4,75.9,78.9,61.1,59.2,62.9,11.6,10.5,12.9,15.2,13.9,16.6,9.7,8.7,10.8,22.4,20.9,24.1," 2,846 "," 2,665 "
E09000015,Harrow,3.0,2.4,3.7,1.8,1.3,2.3,78.6,77.1,80.0,61.8,59.9,63.6,10.1,9.1,11.2,15.8,14.5,17.3,8.3,7.4,9.4,20.6,19.1,22.2," 3,036 "," 2,655 "
E09000016,Havering,0.7,0.5,1.0,1.0,0.7,1.4,74.2,72.7,75.7,60.1,58.3,62.0,14.3,13.2,15.6,16.0,14.7,17.5,10.8,9.8,11.9,22.9,21.3,24.5," 3,227 "," 2,651 "
E09000017,Hillingdon,2.1,1.7,2.6,2.3,1.8,2.8,77.3,76.0,78.6,59.8,58.1,61.4,11.2,10.3,12.2,15.3,14.1,16.5,9.4,8.5,10.3,22.6,21.3,24.1," 4,094 "," 3,488 "
E09000018,Hounslow,2.0,1.6,2.5,2.3,1.8,2.9,76.8,75.3,78.1,57.7,55.8,59.5,10.9,9.9,12.0,15.7,14.4,17.1,10.4,9.4,11.4,24.4,22.8,26.0," 3,377 "," 2,796 "
E09000019,Islington,1.5,1.0,2.1,1.0,0.6,1.6,76.4,74.4,78.3,60.7,58.3,63.0,11.8,10.4,13.3,13.4,11.8,15.1,10.3,9.0,11.8,24.9,22.9,27.0," 1,840 "," 1,697 "
E09000020,Kensington and Chelsea,1.2,0.7,2.2,0.8,0.4,1.6,76.5,73.6,79.1,63.6,60.3,66.7,13.8,11.8,16.2,16.4,14.1,19.0,8.5,6.8,10.4,19.2,16.8,22.0, 910 , 873 
E09000021,Kingston upon Thames,1.6,1.1,2.3,2.4,1.7,3.3,83.1,81.3,84.7,68.8,66.5,71.1,10.3,9.0,11.7,13.5,11.9,15.3,5.0,4.1,6.1,15.3,13.6,17.1," 1,887 "," 1,559 "
E09000022,Lambeth,1.1,0.8,1.6,2.1,1.6,2.7,74.8,73.2,76.3,60.1,58.2,61.9,13.6,12.4,14.9,13.3,12.1,14.6,10.5,9.4,11.7,24.6,23.0,26.2," 2,892 "," 2,717 "
E09000023,Lewisham,1.1,0.8,1.5,1.3,0.9,1.7,77.0,75.6,78.4,60.6,58.8,62.3,11.9,10.9,13.1,14.8,13.6,16.1,9.9,9.0,10.9,23.4,21.9,24.9," 3,525 "," 3,074 "
E09000024,Merton,1.0,0.6,1.4,1.8,1.3,2.4,77.6,75.8,79.2,63.8,61.7,65.9,12.8,11.5,14.2,12.8,11.4,14.3,8.7,7.6,9.9,21.6,19.9,23.5," 2,419 "," 1,984 "
E09000025,Newham,2.4,2.0,2.8,2.4,2.0,2.9,74.4,73.1,75.7,55.0,53.5,56.5,11.0,10.1,11.9,16.0,14.9,17.2,12.3,11.4,13.3,26.5,25.2,27.9," 4,528 "," 4,083 "
E09000026,Redbridge,2.3,1.9,2.8,2.5,2.1,3.1,74.8,73.5,76.1,58.3,56.7,59.9,10.9,10.0,11.9,15.5,14.4,16.7,11.9,11.0,13.0,23.6,22.3,25.0," 4,141 "," 3,734 "
E09000027,Richmond upon Thames,0.7,0.4,1.1,1.4,0.9,2.0,82.6,81.0,84.0,72.0,69.9,73.9,11.2,10.0,12.5,12.7,11.3,14.3,5.5,4.7,6.5,13.9,12.5,15.5," 2,435 "," 1,986 "
E09000028,Southwark,1.0,0.7,1.4,0.9,0.6,1.4,72.8,71.3,74.3,54.6,52.8,56.4,13.3,12.2,14.5,16.4,15.1,17.8,12.9,11.8,14.0,28.0,26.4,29.7," 3,416 "," 2,888 "
E09000029,Sutton,1.3,0.9,1.8,1.6,1.1,2.2,81.3,79.7,82.9,63.7,61.6,65.7,10.6,9.4,11.9,16.7,15.2,18.4,6.8,5.8,7.8,18.0,16.4,19.7," 2,396 "," 2,026 "
E09000030,Tower Hamlets,2.2,1.7,2.7,2.1,1.6,2.6,74.4,72.9,75.8,55.8,54.0,57.5,11.5,10.4,12.6,15.7,14.4,17.0,12.0,11.0,13.2,26.5,24.9,28.1," 3,388 "," 3,033 "
E09000031,Waltham Forest,1.3,1.0,1.8,1.8,1.4,2.4,76.8,75.3,78.2,57.9,56.1,59.7,12.2,11.1,13.4,14.8,13.5,16.1,9.7,8.7,10.7,25.5,24.0,27.1," 3,336 "," 2,974 "
E09000032,Wandsworth,1.4,1.1,1.9,1.8,1.3,2.5,80.4,78.9,81.8,63.7,61.7,65.7,10.9,9.8,12.1,13.6,12.2,15.1,7.3,6.4,8.3,20.9,19.2,22.6," 2,796 "," 2,128 "
E09000033,Westminster,1.4,0.9,2.2,1.1,0.7,1.8,74.5,72.1,76.8,57.3,54.7,59.9,14.0,12.3,16.0,15.2,13.4,17.2,10.0,8.5,11.8,26.4,24.1,28.8," 1,325 "," 1,366 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,0.6,0.5,0.7,1.1,0.9,1.2,74.9,74.4,75.4,61.6,61.0,62.2,13.8,13.4,14.2,14.8,14.4,15.2,10.7,10.4,11.1,22.5,22.0,23.0," 29,568 "," 27,410 "
E12000002,North West,0.8,0.8,0.9,1.3,1.2,1.3,75.3,75.0,75.6,63.5,63.2,63.9,13.6,13.4,13.8,14.4,14.2,14.7,10.3,10.1,10.5,20.8,20.5,21.1," 84,898 "," 77,067 "
E12000003,Yorkshire and The Humber,1.1,1.0,1.2,1.5,1.4,1.6,76.7,76.3,77.0,63.9,63.5,64.3,12.5,12.2,12.8,14.2,13.9,14.5,9.7,9.5,9.9,20.4,20.1,20.7," 63,920 "," 57,100 "
E12000004,East Midlands,1.0,0.9,1.1,1.4,1.3,1.5,76.3,75.9,76.6,65.1,64.7,65.5,13.3,13.0,13.6,14.2,13.9,14.6,9.5,9.2,9.7,19.3,18.9,19.6," 52,320 "," 47,348 "
E12000005,West Midlands,1.1,1.0,1.1,1.4,1.3,1.5,74.8,74.5,75.1,61.5,61.1,61.8,13.4,13.2,13.7,14.7,14.5,15.0,10.7,10.5,10.9,22.4,22.0,22.7," 70,317 "," 62,432 "
E12000006,East,0.9,0.8,0.9,1.4,1.3,1.4,78.1,77.8,78.4,67.2,66.8,67.5,12.4,12.2,12.7,13.6,13.3,13.9,8.6,8.4,8.8,17.9,17.6,18.2," 71,123 "," 61,530 "
E12000007,London,1.5,1.5,1.6,1.6,1.5,1.7,76.1,75.9,76.4,59.8,59.5,60.2,12.1,11.9,12.3,14.9,14.7,15.2,10.3,10.1,10.5,23.6,23.3,23.9," 98,989 "," 86,844 "
E12000008,South East,0.8,0.7,0.8,1.3,1.2,1.3,77.9,77.6,78.1,68.2,67.9,68.5,12.9,12.7,13.1,13.7,13.5,13.9,8.5,8.3,8.6,16.9,16.6,17.1," 100,687 "," 87,011 "
E12000009,South West,0.5,0.4,0.5,1.0,0.9,1.1,76.5,76.1,76.8,68.9,68.5,69.3,14.2,13.9,14.5,13.9,13.6,14.2,8.8,8.6,9.1,16.2,15.9,16.5," 57,537 "," 49,710 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG,England,1.0,0.9,1.0,1.3,1.3,1.4,76.4,76.3,76.5,64.4,64.3,64.5,13.0,12.9,13.1,14.3,14.2,14.4,9.6,9.5,9.7,20.0,19.9,20.1,"629,359","556,452"
