,,Underweight,,,,,,Healthy weight,,,,,,Overweight,,,,,,Obese (inclduing serverely obese),,,,,,Serverely obese,,,,,,Number of children measured,
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,1.3,1.0,1.8,1.5,1.1,1.9,72.9,71.3,74.3,53.9,52.2,55.6,12.7,11.6,13.9,14.5,13.4,15.8,13.1,12.0,14.3,30.0,28.5,31.6,4.5,3.8,5.3,6.7,5.9,7.6," 3,338 "," 3,313 "
E09000003,Barnet,1.2,0.9,1.6,1.4,1.1,1.9,78.9,77.6,80.1,65.1,63.6,66.6,11.3,10.4,12.3,14.9,13.8,16.0,8.6,7.8,9.5,18.6,17.4,19.8,2.3,1.9,2.8,3.7,3.1,4.3," 4,164 "," 3,883 "
E09000004,Bexley,1.1,0.8,1.6,1.0,0.7,1.4,75.9,74.3,77.4,62.2,60.5,63.9,12.6,11.5,13.9,15.2,14.0,16.5,10.3,9.3,11.5,21.6,20.1,23.0,2.4,2.0,3.1,4.8,4.1,5.6," 3,068 "," 3,113 "
E09000005,Brent,1.7,1.3,2.2,1.9,1.5,2.4,68.7,67.2,70.2,54.4,52.7,56.0,14.9,13.7,16.1,15.7,14.6,16.9,14.7,13.6,15.9,28.1,26.6,29.5,3.9,3.3,4.6,7.8,6.9,8.7," 3,552 "," 3,650 "
E09000006,Bromley,1.0,0.7,1.3,1.4,1.1,1.9,79.1,77.7,80.3,69.9,68.3,71.4,11.5,10.5,12.6,13.5,12.4,14.7,8.5,7.6,9.4,15.2,14.0,16.4,1.8,1.4,2.2,2.8,2.3,3.5," 3,797 "," 3,480 "
E09000007,Camden,1.6,1.0,2.4,2.1,1.4,2.9,78.4,76.2,80.5,61.5,58.9,64.0,12.5,10.8,14.3,14.6,12.9,16.6,7.5,6.3,9.0,21.9,19.8,24.1,2.1,1.5,3.0,5.0,4.0,6.3," 1,394 "," 1,409 "
E09000008,Croydon,1.5,1.1,1.9,1.5,1.2,1.9,76.5,75.2,77.8,60.5,59.0,62.0,11.6,10.7,12.6,14.4,13.4,15.5,10.4,9.5,11.3,23.5,22.3,24.8,2.9,2.5,3.5,6.2,5.5,7.0," 4,383 "," 4,210 "
