ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,1.8,1.4,2.3,1.3,1.0,1.7,73.2,71.7,74.7,53.8,52.2,55.5,11.7,10.6,12.8,15.4,14.2,16.6,13.4,12.2,14.6,29.5,28.0,31.0,4.5,3.8,5.2,8.0,7.2,9.0," 3,324 "," 3,449 "
E09000003,Barnet,1.7,1.4,2.2,1.3,1.0,1.7,79.2,77.9,80.4,63.7,62.2,65.1,11.0,10.0,12.0,15.0,14.0,16.1,8.1,7.3,9.0,20.0,18.8,21.3,1.9,1.5,2.3,4.4,3.8,5.1," 4,088 "," 4,109 "
E09000004,Bexley,0.7,0.5,1.1,1.1,0.8,1.5,76.7,75.2,78.2,61.3,59.6,63.0,11.6,10.5,12.8,14.6,13.4,15.9,11.0,9.9,12.1,23.0,21.6,24.5,2.9,2.4,3.6,5.2,4.5,6.0," 2,963 "," 3,163 "
E09000005,Brent,2.6,2.1,3.1,2.1,1.7,2.6,71.5,70.0,72.9,56.4,54.8,58.0,13.2,12.1,14.3,15.5,14.4,16.7,12.8,11.7,13.9,26.0,24.6,27.4,3.9,3.3,4.6,6.0,5.3,6.9," 3,555 "," 3,688 "
E09000006,Bromley,1.1,0.8,1.4,1.6,1.2,2.0,78.3,77.0,79.6,67.3,65.8,68.8,12.6,11.6,13.7,13.3,12.2,14.4,8.0,7.2,8.9,17.8,16.6,19.1,1.8,1.5,2.3,3.4,2.9,4.0," 3,762 "," 3,594 "
E09000007,Camden,1.3,0.8,2.0,1.5,1.0,2.3,78.9,76.6,81.0,63.0,60.4,65.4,11.1,9.5,12.9,14.0,12.3,15.9,8.8,7.4,10.4,21.5,19.4,23.7,2.8,2.0,3.8,4.1,3.2,5.2," 1,324 "," 1,423 "
E09000008,Croydon,1.7,1.3,2.1,1.5,1.2,1.9,76.1,74.8,77.3,59.7,58.3,61.2,11.8,10.9,12.8,14.2,13.2,15.3,10.4,9.6,11.4,24.5,23.3,25.8,3.2,2.7,3.8,5.6,5.0,6.3," 4,311 "," 4,359 "
E09000009,Ealing,1.4,1.1,1.8,1.9,1.5,2.3,77.1,75.8,78.4,59.5,58.0,61.0,11.2,10.2,12.2,14.2,13.2,15.3,10.3,9.4,11.3,24.4,23.1,25.7,3.1,2.6,3.7,4.9,4.3,5.6," 3,891 "," 4,191 "
E09000010,Enfield,1.3,0.9,1.6,1.6,1.3,2.0,74.7,73.3,76.1,56.1,54.6,57.5,12.3,11.3,13.4,15.3,14.3,16.4,11.7,10.7,12.8,27.0,25.7,28.4,3.4,2.9,4.0,6.6,5.9,7.4," 3,920 "," 4,374 "
E09000011,Greenwich,0.8,0.6,1.2,0.8,0.5,1.1,73.6,72.1,75.0,57.8,56.1,59.4,13.3,12.2,14.5,14.5,13.4,15.8,12.3,11.3,13.4,26.9,25.5,28.5,3.2,2.7,3.8,7.5,6.7,8.5," 3,445 "," 3,315 "
E09000012,Hackney1,1.4,1.0,2.0,1.4,1.0,1.9,74.5,72.7,76.2,58.6,56.6,60.5,12.8,11.5,14.1,15.5,14.1,16.9,11.3,10.1,12.6,24.6,23.0,26.3,2.9,2.3,3.6,7.7,6.7,8.8," 2,501 "," 2,498 "
E09000013,Hammersmith and Fulham,1.2,0.8,2.0,2.2,1.5,3.1,79.7,77.5,81.8,62.6,59.9,65.2,11.0,9.4,12.9,14.7,12.9,16.8,8.0,6.6,9.6,20.5,18.4,22.8,1.9,1.3,2.8,4.6,3.6,5.9," 1,288 "," 1,297 "
E09000014,Haringey,1.1,0.8,1.6,1.5,1.1,2.0,76.1,74.5,77.6,60.4,58.6,62.1,11.4,10.2,12.6,14.6,13.4,15.9,11.4,10.3,12.7,23.5,22.0,25.1,3.7,3.0,4.5,5.5,4.7,6.4," 2,743 "," 2,884 "
E09000015,Harrow,2.4,1.9,3.1,3.1,2.6,3.8,79.7,78.2,81.1,60.6,58.8,62.4,10.1,9.1,11.3,16.2,14.9,17.6,7.7,6.8,8.8,20.0,18.6,21.5,2.1,1.7,2.7,4.1,3.4,4.8," 2,944 "," 2,903 "
E09000016,Havering,0.6,0.4,1.0,1.1,0.7,1.5,75.1,73.5,76.6,62.6,60.8,64.3,13.6,12.4,14.8,14.9,13.7,16.2,10.7,9.7,11.9,21.5,20.0,23.0,2.4,1.9,3.0,4.8,4.1,5.7," 3,117 "," 2,944 "
E09000017,Hillingdon,2.0,1.6,2.5,2.0,1.6,2.5,77.6,76.3,78.9,58.9,57.3,60.5,11.2,10.2,12.2,15.5,14.4,16.7,9.3,8.4,10.2,23.6,22.3,25.0,2.4,2.0,2.9,5.1,4.5,5.9," 3,892 "," 3,811 "
E09000018,Hounslow,2.0,1.5,2.5,2.3,1.8,2.8,74.5,72.9,75.9,58.2,56.5,59.9,11.9,10.8,13.1,14.7,13.5,16.0,11.6,10.6,12.8,24.8,23.3,26.3,3.1,2.6,3.8,5.5,4.7,6.3," 3,196 "," 3,184 "
E09000019,Islington,1.2,0.8,1.8,1.4,1.0,2.1,77.6,75.6,79.5,59.3,57.0,61.6,11.4,10.0,13.0,15.9,14.3,17.7,9.7,8.4,11.2,23.4,21.4,25.4,2.0,1.4,2.8,5.5,4.5,6.6," 1,744 "," 1,777 "
E09000020,Kensington and Chelsea,1.0,0.6,2.0,1.0,0.5,1.9,79.0,76.2,81.6,64.8,61.6,67.8,11.6,9.6,13.9,11.3,9.4,13.5,8.4,6.7,10.4,23.0,20.4,25.8,2.0,1.2,3.1,4.9,3.6,6.5, 862 , 905 
E09000021,Kingston upon Thames,1.6,1.1,2.2,1.9,1.4,2.7,83.1,81.3,84.7,70.1,68.0,72.1,9.5,8.3,10.9,13.8,12.3,15.4,5.8,4.9,7.0,14.2,12.7,15.9,1.2,0.8,1.8,2.5,1.9,3.3," 1,905 "," 1,868 "
E09000022,Lambeth,1.6,1.2,2.1,1.1,0.8,1.6,75.7,74.1,77.3,61.6,59.9,63.4,12.3,11.2,13.6,13.7,12.5,15.0,10.4,9.3,11.5,23.6,22.1,25.2,2.8,2.3,3.5,6.2,5.4,7.2," 2,896 "," 2,889 "
E09000023,Lewisham,1.7,1.3,2.2,1.8,1.4,2.3,77.5,76.0,78.9,62.0,60.3,63.7,11.0,9.9,12.1,13.7,12.6,15.0,9.9,8.9,10.9,22.4,21.0,23.9,2.8,2.2,3.4,4.8,4.1,5.6," 3,268 "," 3,253 "
E09000024,Merton,1.2,0.8,1.8,1.7,1.3,2.4,78.6,76.9,80.3,64.7,62.7,66.6,12.3,11.0,13.8,13.8,12.5,15.3,7.8,6.8,9.0,19.7,18.2,21.4,2.2,1.6,2.9,4.4,3.6,5.3," 2,219 "," 2,296 "
E09000025,Newham,2.2,1.8,2.7,2.0,1.7,2.5,74.5,73.2,75.8,55.1,53.7,56.5,10.9,10.1,11.9,15.2,14.2,16.2,12.3,11.4,13.3,27.7,26.5,29.0,4.4,3.8,5.0,7.0,6.3,7.8," 4,452 "," 4,643 "
E09000026,Redbridge,3.1,2.7,3.7,3.0,2.5,3.6,77.0,75.7,78.3,57.2,55.7,58.7,9.8,8.9,10.8,15.7,14.6,16.8,10.0,9.1,11.0,24.1,22.8,25.4,3.2,2.7,3.8,5.5,4.8,6.3," 4,034 "," 3,996 "
E09000027,Richmond upon Thames,0.6,0.4,1.0,1.4,1.0,2.0,82.8,81.2,84.3,75.2,73.4,77.0,10.4,9.2,11.8,12.2,10.9,13.6,6.1,5.2,7.2,11.2,10.0,12.6,1.1,0.8,1.6,2.1,1.6,2.7," 2,255 "," 2,229 "
E09000028,Southwark,0.7,0.4,1.0,1.0,0.7,1.5,72.6,71.0,74.2,59.1,57.3,60.8,14.0,12.8,15.3,14.0,12.8,15.3,12.7,11.6,14.0,25.9,24.4,27.4,4.2,3.5,5.0,6.7,5.9,7.7," 2,980 "," 3,096 "
E09000029,Sutton,1.5,1.0,2.0,1.5,1.1,2.1,79.0,77.3,80.7,63.0,61.0,64.9,11.6,10.3,13.0,15.7,14.3,17.2,8.0,6.9,9.2,19.8,18.3,21.5,1.5,1.0,2.0,4.4,3.7,5.3," 2,201 "," 2,334 "
E09000030,Tower Hamlets,2.2,1.7,2.8,2.4,2.0,3.1,76.0,74.5,77.5,56.1,54.4,57.9,10.1,9.1,11.2,16.1,14.8,17.4,11.7,10.7,12.9,25.3,23.9,26.9,4.4,3.8,5.2,4.9,4.2,5.7," 3,159 "," 3,144 "
E09000031,Waltham Forest,1.6,1.2,2.1,2.2,1.7,2.8,76.5,75.0,77.9,59.6,57.9,61.3,11.4,10.3,12.5,14.5,13.3,15.7,10.6,9.6,11.7,23.7,22.3,25.2,2.9,2.4,3.6,5.5,4.8,6.4," 3,224 "," 3,192 "
E09000032,Wandsworth,1.6,1.2,2.2,2.3,1.7,2.9,81.0,79.4,82.4,64.1,62.1,66.0,10.8,9.7,12.0,14.4,13.0,15.9,6.6,5.7,7.6,19.3,17.7,20.9,1.5,1.1,2.1,3.6,2.9,4.4," 2,647 "," 2,304 "
E09000033,Westminster,1.9,1.3,3.0,1.0,0.6,1.7,77.8,75.2,80.3,60.1,57.4,62.7,10.9,9.2,13.0,14.9,13.1,16.9,9.3,7.7,11.2,24.0,21.7,26.4,2.4,1.6,3.5,5.2,4.1,6.5," 1,033 "," 1,314 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,0.6,0.5,0.7,1.2,1.1,1.3,75.1,74.6,75.6,61.3,60.7,61.9,13.5,13.1,13.9,14.7,14.3,15.1,10.8,10.5,11.2,22.8,22.3,23.3,2.7,2.5,2.9,5.2,4.9,5.4," 28,062 "," 28,720 "
